번호,시장명,상호명,주소,대표,연락처,취급품목(업종),,,2538페이지중 980페이지까지만함
50744,(새)인현지하상가,플라스,"인천광역시 중구 참외전로 지하 121, 67,68호",조순옥,327621180,화장품,,,
50743,(새)인현지하상가,ZOOM,"인천광역시 중구 참외전로 117-15 (인현동), 인현동 1,인현지하상가 39호 ZOOM",최지우,-,기타잡화,,,
50742,(용봉동)패션의거리,만수무강,"광주광역시 북구 용봉동 598-13, 용봉동",이승해,625258253,"한복대여, 한복",,,
50741,(용봉동)패션의거리,알레르망용봉,"광주광역시 북구 설죽로 255(용봉동), 1,2층",조단임,622630929,"침구류, 수예품, 커튼",,,
50740,(용봉동)패션의거리,쿠쿠광주북구점,"광주광역시 북구 설죽로 188 (용봉동), 쿠쿠",김정순,625113520,전자제품가전제품수리,,,
50739,(용봉동)패션의거리,아이더광주용봉유한회사,"광주광역시 북구 설죽로 239 (용봉동), 아이더 광주용봉점",허인모,625152020,"의류,등산용품,안전용품",,,
50738,(용봉동)패션의거리,에스티오 용봉점,"광주광역시 북구 설죽로 218-1, 용봉동",최만진,625313592,"의류, 잡화",,,
50737,(용봉동)패션의거리,샤트렌 용봉점,"광주광역시 북구 설죽로 197, 샤트렌 용봉점(용봉동)",박상의,625122181,"의류, 여성의류, 스포츠용품",,,
50736,(용봉동)패션의거리,"발렌시아, 더아이잗","광주광역시 북구 설죽로 237, 발렌시아, 더아이잗",박정희,625710009,"의류, 액세서리, 잡화, 문구, 스포츠의류, 비주거용",,,
50735,(용봉동)패션의거리,의좋은 유통,"광주광역시 북구 설죽로 188, 1층, 닥스.해지스키즈(용봉동)",최흥숙,625269399,"의류, 스포츠의류",,,
50734,(용봉동)패션의거리,스파이더 광주용봉점,"광주광역시 북구 용봉택지로 96, 나동 102, 202호(용봉동)",김광희,625127555,"의류, 스포츠용품, 액세서리, 신발",,,
50733,(용봉동)패션의거리,와이드앵글 광주용봉점,"광주광역시 북구 설죽로 198-1, 용봉동",유충래,625275280,"의류, 스포츠용품, 신발",,,
50732,(용봉동)패션의거리,캠프라인 용봉점,"광주광역시 북구 설죽로 229, 용봉동",홍익표,625142221,"의류, 스포츠용품, 신발",,,
50731,(용봉동)패션의거리,웰메이드 용봉점,"광주광역시 북구 설죽로 225, 용봉동",주순애,625119950,"의류, 스포츠용품, 스포츠의류, 액세서리",,,
50730,(용봉동)패션의거리,올리비아로렌 용봉점,"광주광역시 북구 설죽로 193-1, 1층, 2층(용봉동)",유미,625135250,"의류, 스포츠용품",,,
50729,(용봉동)패션의거리,올포유 용봉점,"광주광역시 북구 용봉동 1409-4, 1층,(용봉동)",이장완,625238181,"의류, 스포츠용품",,,
50728,(용봉동)패션의거리,웨스트우드 광주용봉점,"광주광역시 북구 설죽로 165, 웨스트우드 광주용봉점",이재일,625154984,"의류, 스포츠용품",,,
50727,(용봉동)패션의거리,고운우리옷,"광주광역시 북구 설죽로 233, 2층, 고운우리옷",이영미,622247143,의류,,,
50726,(용봉동)패션의거리,광주용봉 P.A.T,"광주광역시 북구 설죽로 217, 광주용봉 P.A.T",최보은,625132535,의류,,,
50725,(용봉동)패션의거리,그린조이,"광주광역시 북구 비엔날레로 194, 그린조이",박수정,625288373,의류,,,
번호,시장명,상호명,주소,대표,연락처,취급품목(업종),,,
50724,(용봉동)패션의거리,런던포그용봉점,"광주광역시 북구 설죽로 220, 용봉동",강영혜,625298595,의류,,,
50723,(용봉동)패션의거리,르꼬끄스포르티브 광주용봉점,"광주광역시 북구 설죽로 215, 르꼬끄스포르티브 광주용봉점",박순아,625116340,의류,,,
50722,(용봉동)패션의거리,토이앤맘,"광주광역시 북구 설죽로 240, 1층",송윤봉,625133362,유아용품,,,
50721,(용봉동)패션의거리,루이까스텔 광주시용봉점,"광주광역시 북구 설죽로 234, 용봉동",곽수진,625297980,안전용품 및 스포츠의류,,,
50720,(용봉동)패션의거리,블랙야크광주용봉점,"광주광역시 북구 설죽로 255 (용봉동), 1층",김금자,625222110,"안전,등산,스포츠",,,
50719,(용봉동)패션의거리,루나,"광주광역시 북구 설죽로 233, 루나",조정미,-,"신발, 잡화",,,
50718,(용봉동)패션의거리,에스마켓 광주용봉점,"광주광역시 북구 용봉택지로 96, 용봉동",김정화,625113039,"신발, 의류, 잡화",,,
50717,(용봉동)패션의거리,바이네르 용봉점,"광주광역시 북구 설죽로 263(용봉동), 바이네르 용봉점",이은희,625142091,"신발, 스포츠용품",,,
50716,(용봉동)패션의거리,디스커버리용봉점,"광주광역시 북구 설죽로 219, 1층, 용봉동",이승환(디스커버리),625127181,"스포츠의류용품, 등산의류용품",,,
50715,(용봉동)패션의거리,2XU 용봉점,"광주광역시 북구 설죽로 208, 2XU 용봉점",정재윤,625123592,스포츠의류용품,,,
50714,(용봉동)패션의거리,비피(BP)스포츠,"광주광역시 북구 설죽로 251, 비피스포츠(용봉동)",강명숙,625267650,스포츠의류및용품,,,
50713,(용봉동)패션의거리,문흥스포츠-용봉지점,"광주광역시 북구 용봉택지로 96 (용봉동), 용봉 나이키",문연순,623850077,"스포츠의류,신발.스포츠용품",,,
50712,(용봉동)패션의거리,이동수 에프앤지(F||chr(38)||G) 용봉점,"광주광역시 북구 설죽로 193, 1층, 용봉동",최금희,625155764,"스포츠의류, 용품, 골프의류",,,
50711,(용봉동)패션의거리,톨비스트,"광주광역시 북구 설죽로 231, (용봉동, 1층)",이은영,625153633,"스포츠의류, 용품",,,
50710,(용봉동)패션의거리,볼빅브이닷 광주용봉점,"광주광역시 북구 설죽로 230, 1-2층(용봉동)",이도희,625317600,"스포츠의류, 액세서리",,,
50709,(용봉동)패션의거리,뉴발란스용봉점,"광주광역시 북구 설죽로 203, 용봉동",박세훈,625127780,"스포츠의류, 신발, 용품",,,
50708,(용봉동)패션의거리,벤제프골프 광주용봉점,"광주광역시 북구 설죽로 199, 벤제프골프 광주용봉점",박순미,625124905,"스포츠의류, 스포츠용품",,,
50707,(용봉동)패션의거리,파리게이츠,"광주광역시 북구 설죽로 232-1, 파리게이츠",소용호,625280070,"스포츠의류, 스포츠용품",,,
50706,(용봉동)패션의거리,무크용봉점,"광주광역시 북구 설죽로 206-1, 무크용봉점",유문갑,10224503395,"스포츠의류, 스포츠 용품",,,
50705,(용봉동)패션의거리,광주용봉UFS,"광주광역시 북구 설죽로 199, 용봉동",홍혜란,625267757,스포츠의류 외,,,
번호,시장명,상호명,주소,대표,연락처,취급품목(업종),,,
50704,(용봉동)패션의거리,광주용봉(서방)스포츠,"광주광역시 북구 설죽로 249, 용봉동",홍혜란,627163039,스포츠의류 및 용품,,,
50703,(용봉동)패션의거리,올포유용봉점,"광주광역시 북구 설죽로 173, 올포유용봉점",이정우,625238181,스포츠의류,,,
50702,(용봉동)패션의거리,왁골프광주용봉점,"광주광역시 북구 설죽로 235(용봉동), .",김복실,625119090,스포츠의류,,,
50701,(용봉동)패션의거리,JDX 광주용봉점,"광주광역시 북구 설죽로 173, 용봉동 외 2필지",최종복,624514545,"스포츠용품및의류, 안전화, 의류",,,
50700,(용봉동)패션의거리,마코 광주용봉점,"광주광역시 북구 설죽로 169 (용봉동), 마코 용봉점",허정미,625132082,스포츠용품및의류,,,
50699,(용봉동)패션의거리,레노마골프 광주용봉점,"광주광역시 북구 설죽로 227, 1층(용봉동)",이송훈,625236004,"스포츠용품, 의류, 신발",,,
50698,(용봉동)패션의거리,밀레광주용봉점,"광주광역시 북구 설죽로 175번길 4, 1층, 2층(용봉동)",김태인,625288812,"스포츠용품, 의류, 신발",,,
50697,(용봉동)패션의거리,콜핑,"광주광역시 북구 설죽로 255, 용봉동",김종순,625295884,"스포츠용품, 의류 및 등산용품",,,
50696,(용봉동)패션의거리,광주케이투,"광주광역시 북구 설죽로 247, 용봉동",윤영인,625227020,"스포츠용품, 안전용품, 수건, 잡화, 신발 외의",,,
50695,(용봉동)패션의거리,아식스용봉점,"광주광역시 북구 설죽로 187, 1층, 용봉동",한현주,625238811,스포츠용품,,,
50694,(용봉동)패션의거리,푸마 광주용봉점,"광주광역시 북구 설죽로 254, 푸마용봉점",최점희,625127679,스포츠용품,,,
50693,(용봉동)패션의거리,프로스펙스. 몽벨,"광주광역시 북구 설죽로 224, 용봉동",김영희,625231323,"스포츠및등산의류, 용품, 안전용품",,,
50692,(용봉동)패션의거리,(유) 목포스포츠,"광주광역시 북구 설죽로 219 (용봉동), 데상트",박은희,625114743,스포츠 의류 용품 신발,,,
50691,(용봉동)패션의거리,보스트로용봉점,"광주광역시 북구 설죽로 201, 용봉동",김성기,625239494,수탁판매,,,
